DISTANCE,DETECT,RSSI_DEC,FREQUENCY,ID,CYCLE,N,READ_RATE
190,0,0,0,e20051397201021018904d85,5,7,0.000
200,0,0,0,e20051397201021018904d85,5,7,0.000
10,1,236,5519885,e20051397201021018904d85,1,8,1.000
20,1,221,10761485,e20051397201021018904d85,1,8,1.000
30,1,210,16529165,e20051397201021018904d85,1,8,1.000
40,1,197,11287565,e20051397201021018904d85,1,8,1.000
50,1,168,5519885,e20051397201021018904d85,1,8,1.000
60,0,0,0,e20051397201021018904d85,5,8,0.000
70,1,73,16529165,e20051397201021018904d85,1,8,1.000
80,1,103,11287565,e20051397201021018904d85,1,8,1.000
90,1,101,5519885,e20051397201021018904d85,1,8,1.000
100,1,100,10761485,e20051397201021018904d85,2,8,0.500
110,1,80,16529165,e20051397201021018904d85,1,8,1.000
120,0,0,0,e20051397201021018904d85,5,8,0.000
130,1,6,5519885,e20051397201021018904d85,3,8,0.333
140,1,69,10761485,e20051397201021018904d85,5,8,0.200
150,0,0,0,e20051397201021018904d85,5,8,0.000
160,0,0,0,e20051397201021018904d85,5,8,0.000
170,0,0,0,e20051397201021018904d85,5,8,0.000
180,0,0,0,e20051397201021018904d85,5,8,0.000
190,0,0,0,e20051397201021018904d85,5,8,0.000
200,0,0,0,e20051397201021018904d85,5,8,0.000
10,1,237,5519885,e20051397201021018904d85,1,9,1.000
20,1,220,10761485,e20051397201021018904d85,1,9,1.000
30,1,197,16529165,e20051397201021018904d85,1,9,1.000
40,1,181,11287565,e20051397201021018904d85,1,9,1.000
50,1,167,5519885,e20051397201021018904d85,1,9,1.000
60,1,137,10761485,e20051397201021018904d85,1,9,1.000
70,1,120,16529165,e20051397201021018904d85,2,9,0.500
80,0,0,0,e20051397201021018904d85,5,9,0.000
90,1,118,5519885,e20051397201021018904d85,1,9,1.000
100,1,113,10761485,e20051397201021018904d85,2,9,0.500
110,1,96,16529165,e20051397201021018904d85,1,9,1.000
120,1,98,11287565,e20051397201021018904d85,2,9,0.500
130,0,0,0,e20051397201021018904d85,5,9,0.000
