DISTANCE,DETECT,RSSI_DEC,FREQUENCY,ID,N,READ,READ_RATE
60,1,135,5519885,e20051397201021018904d85,4,5,1.00
70,0,0,0,e20051397201021018904d85,4,0,0.00
80,1,38,16529165,e20051397201021018904d85,4,4,0.80
90,0,0,0,e20051397201021018904d85,4,0,0.00
100,1,97,5519885,e20051397201021018904d85,4,1,0.20
110,0,0,0,e20051397201021018904d85,4,0,0.00
120,0,0,0,e20051397201021018904d85,4,0,0.00
130,0,0,0,e20051397201021018904d85,4,0,0.00
140,0,0,0,e20051397201021018904d85,4,0,0.00
150,0,0,0,e20051397201021018904d85,4,0,0.00
160,0,0,0,e20051397201021018904d85,4,0,0.00
170,0,0,0,e20051397201021018904d85,4,0,0.00
180,0,0,0,e20051397201021018904d85,4,0,0.00
190,0,0,0,e20051397201021018904d85,4,0,0.00
200,0,0,0,e20051397201021018904d85,4,0,0.00
210,0,0,0,e20051397201021018904d85,4,0,0.00
220,0,0,0,e20051397201021018904d85,4,0,0.00
230,0,0,0,e20051397201021018904d85,4,0,0.00
240,0,0,0,e20051397201021018904d85,4,0,0.00
250,0,0,0,e20051397201021018904d85,4,0,0.00
260,0,0,0,e20051397201021018904d85,4,0,0.00
270,0,0,0,e20051397201021018904d85,4,0,0.00
280,0,0,0,e20051397201021018904d85,4,0,0.00
290,0,0,0,e20051397201021018904d85,4,0,0.00
300,0,0,0,e20051397201021018904d85,4,0,0.00
10,1,235,10761485,e20051397201021018904d85,5,5,1.00
20,1,236,16529165,e20051397201021018904d85,5,5,1.00
30,1,216,11287565,e20051397201021018904d85,5,5,1.00
40,1,176,5519885,e20051397201021018904d85,5,5,1.00
50,1,161,10761485,e20051397201021018904d85,5,4,0.80
60,1,105,16529165,e20051397201021018904d85,5,5,1.00
70,1,57,11287565,e20051397201021018904d85,5,4,0.80
80,1,40,5519885,e20051397201021018904d85,5,5,1.00
90,1,102,10761485,e20051397201021018904d85,5,3,0.60
100,1,133,16529165,e20051397201021018904d85,5,5,1.00
110,1,117,11287565,e20051397201021018904d85,5,4,0.80
120,0,0,0,e20051397201021018904d85,5,0,0.00
130,0,0,0,e20051397201021018904d85,5,0,0.00
140,1,53,16529165,e20051397201021018904d85,5,4,0.80
150,1,5,11287565,e20051397201021018904d85,5,3,0.60
160,0,0,0,e20051397201021018904d85,5,0,0.00
170,0,0,0,e20051397201021018904d85,5,0,0.00
180,0,0,0,e20051397201021018904d85,5,0,0.00
190,0,0,0,e20051397201021018904d85,5,0,0.00
200,0,0,0,e20051397201021018904d85,5,0,0.00
210,0,0,0,e20051397201021018904d85,5,0,0.00
220,0,0,0,e20051397201021018904d85,5,0,0.00
230,0,0,0,e20051397201021018904d85,5,0,0.00
240,0,0,0,e20051397201021018904d85,5,0,0.00
250,0,0,0,e20051397201021018904d85,5,0,0.00
260,0,0,0,e20051397201021018904d85,5,0,0.00
270,0,0,0,e20051397201021018904d85,5,0,0.00
280,0,0,0,e20051397201021018904d85,5,0,0.00
290,0,0,0,e20051397201021018904d85,5,0,0.00
300,0,0,0,e20051397201021018904d85,5,0,0.00
10,1,237,16529165,e20051397201021018904d85,6,5,1.00
20,1,236,11287565,e20051397201021018904d85,6,5,1.00
30,1,212,5519885,e20051397201021018904d85,6,5,1.00
40,1,200,10761485,e20051397201021018904d85,6,5,1.00
50,1,176,16529165,e20051397201021018904d85,6,4,0.80
60,0,0,0,e20051397201021018904d85,6,0,0.00
70,1,9,5519885,e20051397201021018904d85,6,4,0.80
80,1,40,10761485,e20051397201021018904d85,6,5,1.00
90,1,39,16529165,e20051397201021018904d85,6,4,0.80
100,0,0,0,e20051397201021018904d85,6,0,0.00
110,1,101,5519885,e20051397201021018904d85,6,4,0.80
120,0,0,0,e20051397201021018904d85,6,0,0.00
130,0,0,0,e20051397201021018904d85,6,0,0.00
140,0,0,0,e20051397201021018904d85,6,0,0.00
150,0,0,0,e20051397201021018904d85,6,0,0.00
160,0,0,0,e20051397201021018904d85,6,0,0.00
170,0,0,0,e20051397201021018904d85,6,0,0.00
180,0,0,0,e20051397201021018904d85,6,0,0.00
190,0,0,0,e20051397201021018904d85,6,0,0.00
200,0,0,0,e20051397201021018904d85,6,0,0.00
210,0,0,0,e20051397201021018904d85,6,0,0.00
220,0,0,0,e20051397201021018904d85,6,0,0.00
230,0,0,0,e20051397201021018904d85,6,0,0.00
240,0,0,0,e20051397201021018904d85,6,0,0.00
250,0,0,0,e20051397201021018904d85,6,0,0.00
260,0,0,0,e20051397201021018904d85,6,0,0.00
270,0,0,0,e20051397201021018904d85,6,0,0.00
280,0,0,0,e20051397201021018904d85,6,0,0.00
290,0,0,0,e20051397201021018904d85,6,0,0.00
300,0,0,0,e20051397201021018904d85,6,0,0.00
10,1,236,11287565,e20051397201021018904d85,7,5,1.00
20,1,236,5519885,e20051397201021018904d85,7,5,1.00
30,1,215,10761485,e20051397201021018904d85,7,5,1.00
40,0,0,0,e20051397201021018904d85,7,0,0.00
50,1,137,11287565,e20051397201021018904d85,7,5,1.00
60,1,58,5519885,e20051397201021018904d85,7,5,1.00
70,1,9,10761485,e20051397201021018904d85,7,5,1.00
80,1,119,16529165,e20051397201021018904d85,7,5,1.00
90,1,113,11287565,e20051397201021018904d85,7,5,1.00
100,1,116,5519885,e20051397201021018904d85,7,4,0.80
110,1,98,10761485,e20051397201021018904d85,7,5,1.00
120,0,0,0,e20051397201021018904d85,7,0,0.00
130,0,0,0,e20051397201021018904d85,7,0,0.00
140,0,0,0,e20051397201021018904d85,7,0,0.00
