DISTANCE,DETECT,RSSI,FREQUENCY,ID
170,0,0,0,e20051397201015618904e5d
180,0,0,0,e20051397201015618904e5d
190,0,0,0,e20051397201015618904e5d
200,0,0,0,e20051397201015618904e5d
10,1,222,11287565,e20051397201015618904e5d
20,1,221,5519885,e20051397201015618904e5d
30,1,215,10761485,e20051397201015618904e5d
40,1,198,16529165,e20051397201015618904e5d
50,1,136,11287565,e20051397201015618904e5d
60,1,89,5519885,e20051397201015618904e5d
70,1,88,10761485,e20051397201015618904e5d
80,1,24,16529165,e20051397201015618904e5d
90,1,99,11287565,e20051397201015618904e5d
100,1,101,5519885,e20051397201015618904e5d
110,0,0,0,e20051397201015618904e5d
120,0,0,0,e20051397201015618904e5d
130,0,0,0,e20051397201015618904e5d
140,0,0,0,e20051397201015618904e5d
150,0,0,0,e20051397201015618904e5d
160,0,0,0,e20051397201015618904e5d
170,0,0,0,e20051397201015618904e5d
180,0,0,0,e20051397201015618904e5d
190,0,0,0,e20051397201015618904e5d
200,0,0,0,e20051397201015618904e5d
10,1,237,5519885,e20051397201015618904e5d
20,1,220,10761485,e20051397201015618904e5d
30,1,218,16529165,e20051397201015618904e5d
40,1,192,11287565,e20051397201015618904e5d
50,1,153,5519885,e20051397201015618904e5d
60,1,25,10761485,e20051397201015618904e5d
70,1,25,16529165,e20051397201015618904e5d
80,1,102,11287565,e20051397201015618904e5d
90,1,128,5519885,e20051397201015618904e5d
100,1,112,10761485,e20051397201015618904e5d
110,0,0,0,e20051397201015618904e5d
120,1,101,11287565,e20051397201015618904e5d
130,0,0,0,e20051397201015618904e5d
140,1,22,10761485,e20051397201015618904e5d
150,0,0,0,e20051397201015618904e5d
160,1,98,11287565,e20051397201015618904e5d
170,0,0,0,e20051397201015618904e5d
180,0,0,0,e20051397201015618904e5d
190,0,0,0,e20051397201015618904e5d
200,0,0,0,e20051397201015618904e5d
10,1,234,10761485,e20051397201015618904e5d
20,1,235,16529165,e20051397201015618904e5d
30,1,195,11287565,e20051397201015618904e5d
40,1,139,5519885,e20051397201015618904e5d
50,1,91,10761485,e20051397201015618904e5d
60,1,73,16529165,e20051397201015618904e5d
70,1,120,11287565,e20051397201015618904e5d
80,1,112,5519885,e20051397201015618904e5d
90,1,112,10761485,e20051397201015618904e5d
100,0,0,0,e20051397201015618904e5d
110,0,0,0,e20051397201015618904e5d
120,0,0,0,e20051397201015618904e5d
130,1,37,10761485,e20051397201015618904e5d
140,1,54,16529165,e20051397201015618904e5d
150,1,69,11287565,e20051397201015618904e5d
160,0,0,0,e20051397201015618904e5d
170,0,0,0,e20051397201015618904e5d
180,0,0,0,e20051397201015618904e5d
190,0,0,0,e20051397201015618904e5d
200,0,0,0,e20051397201015618904e5d
10,1,251,16529165,e20051397201015618904e5d
